res_id,store_name,category,address,tel,business_hours,res_cnt,Lat,Lon
653467130,하이디라오 홍대점,중식당,서울 마포구 양화로 176 동교동 와이즈파크 5층,0507-1381-7668,매일:10:00 - 21:50,0,37.557251,126.9249991
1810003724,곱창파는고깃집,한식,서울 마포구 마포대로 173-14 마포센텀슬로우스퀘어 401호,0507-1384-9245,금:15:00 - 22:00 21:00 라스트오더/토:15:00 - 22:00 21:00 라스트오더/일:15:00 - 22:00 21:00 라스트오더/월:정기휴무 (매주 월요일)/화:15:00 - 22:00 21:00 라스트오더/수:15:00 - 22:00 21:00 라스트오더/목:15:00 - 22:00 21:00 라스트오더,0,37.5510075,126.9536224
1836194923,백스트리트피자,피자,서울 종로구 수표로26길 16-2 B1 백스트리트 피자,0507-1301-5964,금:12:00 - 23:00 22:00 라스트오더/토:11:00 - 23:00 22:00 라스트오더/일:11:00 - 23:00 22:00 라스트오더/월:12:00 - 23:00 22:00 라스트오더/화:12:00 - 23:00 22:00 라스트오더/수:12:00 - 23:00 22:00 라스트오더/목:12:00 - 23:00 22:00 라스트오더,0,37.5720853,126.9898972
1201521512,빠레뜨한남 석촌호수점,양식,서울 송파구 오금로16길 10 1층 빠레뜨한남,02-6407-3417,금:11:30 - 20:30 16:00 - 17:00 브레이크타임 20:00 라스트오더/토:11:30 - 21:00 16:00 - 17:00 브레이크타임 20:30 라스트오더/일:11:30 - 21:00 16:00 - 17:00 브레이크타임 20:30 라스트오더/월:정기휴무 (매주 월요일)/화:11:30 - 20:30 16:00 - 17:00 브레이크타임 20:00 라스트오더/수:11:30 - 20:30 16:00 - 17:00 브레이크타임 20:00 라스트오더/목:11:30 - 20:30 16:00 - 17:00 브레이크타임 20:00 라스트오더,0,37.5108123,127.1087519
1264024780,몽밀,일식당,서울 영등포구 도림로125길 34 1층 몽밀,0507-1452-5563,금:11:30 - 21:00 15:30 - 17:00 브레이크타임 20:00 라스트오더/토:11:30 - 21:00 15:30 - 17:00 브레이크타임 20:00 라스트오더/일:11:30 - 17:00 16:00 라스트오더/월:정기휴무 (매주 월요일)/화:11:30 - 21:00 15:30 - 17:00 브레이크타임 20:00 라스트오더/수:11:30 - 21:00 15:30 - 17:00 브레이크타임 20:00 라스트오더/목:11:30 - 21:00 15:30 - 17:00 브레이크타임 20:00 라스트오더,0,37.5132612,126.893094
17374322,종남산장,한식,전북 완주군 소양면 송광수만로 429,063-243-8144,,0,35.8997007,127.2400298
1269901099,낙원테산도 용산아이파크몰점,일식당,서울 용산구 한강대로23길 55 6층,02-2012-0615,매일:11:00 - 22:00 21:00 라스트오더,0,37.5297718,126.9647415
38314432,하이디라오 서초지점,중식당,서울 서초구 서초대로77길 54 서초 W-TOWER,0507-1350-8260,매일:10:00 - 23:00,0,37.5025793,127.0248509
1228609331,나오리쇼쿠,한식,부산 금정구 금강로 271-14,0507-1311-4128,금:11:00 - 20:50 15:00 - 16:30 브레이크타임 20:20 라스트오더/토:11:00 - 20:50 15:00 - 16:30 브레이크타임 20:20 라스트오더/일:11:00 - 20:50 15:00 - 16:30 브레이크타임 20:20 라스트오더/월:11:00 - 20:50 15:00 - 16:30 브레이크타임 20:20 라스트오더/화:11:00 - 20:50 15:00 - 16:30 브레이크타임 20:20 라스트오더/수:11:00 - 20:50 15:00 - 16:30 브레이크타임 20:20 라스트오더/목:11:00 - 20:50 15:00 - 16:30 브레이크타임 20:20 라스트오더,0,35.2326708,129.0850846
1091986625,no smoke without fire,"카페,디저트",경기 수원시 팔달구 매산로 139-5,0507-1310-5547,금:12:00 - 20:30 20:00 라스트오더/토:11:00 - 20:30 20:00 라스트오더/일:11:00 - 20:30 20:00 라스트오더/월:12:00 - 20:30 20:00 라스트오더/화:12:00 - 20:30 20:00 라스트오더/수:12:00 - 20:30 20:00 라스트오더/목:12:00 - 20:30 20:00 라스트오더,0,37.2727473,127.0156995
1047221979,모노샌드,샌드위치,경기 오산시 밀머리로 8 1층 모노샌드,0507-1479-5596,금:10:00 - 20:00/토:10:00 - 20:00/일:정기휴무 (매주 일요일)/월:10:00 - 20:00/화:10:00 - 20:00/수:10:00 - 20:00/목:10:00 - 20:00,0,37.141156,127.0737816
1657013087,라뜰리에 꼼때,프랑스음식,서울 종로구 성균관로17길 53,0507-1445-0147,금:12:00 - 22:00 16:00 - 17:00 브레이크타임/토:12:00 - 22:00 16:00 - 17:00 브레이크타임/일:12:00 - 22:00 16:00 - 17:00 브레이크타임/월:12:00 - 22:00 16:00 - 17:00 브레이크타임/화:12:00 - 22:00 16:00 - 17:00 브레이크타임/수:12:00 - 22:00 16:00 - 17:00 브레이크타임/목:12:00 - 22:00 16:00 - 17:00 브레이크타임,0,37.5914008,126.9972772
1948758077,커리드,카레,경기 수원시 팔달구 화서문로32번길 28 1층 커리드,070-7803-2020,금:11:30 - 20:30 15:00 - 17:00 브레이크타임 20:00 라스트오더/토:11:30 - 20:30 15:00 - 17:00 브레이크타임 20:00 라스트오더/일:11:30 - 20:30 15:00 - 17:00 브레이크타임 20:00 라스트오더/월:11:30 - 20:30 15:00 - 17:00 브레이크타임 20:00 라스트오더/화:11:30 - 20:30 15:00 - 17:00 브레이크타임 20:00 라스트오더/수:정기휴무 (매주 수요일)/목:11:30 - 20:30 15:00 - 17:00 브레이크타임 20:00 라스트오더,0,37.2839345,127.0122586
1407603343,DONO,피자,서울 용산구 이태원로54길 63,0507-1443-0502,"금:12:00 - 22:00 15:00 - 17:00 브레이크타임 14:00, 21:00 라스트오더/토:12:00 - 22:00 15:00 - 16:00 브레이크타임 14:00, 21:00 라스트오더/일:12:00 - 22:00 15:00 - 16:00 브레이크타임 14:00, 21:00 라스트오더/월:12:00 - 22:00 15:00 - 17:00 브레이크타임 14:00, 21:00 라스트오더/화:정기휴무 (매주 화요일)/수:12:00 - 22:00 15:00 - 17:00 브레이크타임 14:00, 21:00 라스트오더/목:12:00 - 22:00 15:00 - 17:00 브레이크타임 14:00, 21:00 라스트오더",0,37.5357199,127.0012487
1273177276,메리그린,"카페,디저트",서울 종로구 대학로11길 49 2층,010-7361-1150,금:12:00 - 21:00/토:12:00 - 21:00/일:12:00 - 21:00/월:12:00 - 21:00/화:정기휴무 (매주 화요일)/수:12:00 - 21:00/목:12:00 - 21:00,0,37.5826117,126.9991046
1784206724,후라토식당 용산점,일식당,서울 용산구 한강대로30길 25 아스테리움 용산 지하1층 B102호,0507-1393-2052,금:11:30 - 22:00 15:00 - 17:00 브레이크타임 21:00 라스트오더/토:11:30 - 22:00 15:00 - 17:00 브레이크타임 21:00 라스트오더/일:11:30 - 22:00 15:00 - 17:00 브레이크타임 21:00 라스트오더/월:11:30 - 22:00 15:00 - 17:00 브레이크타임 21:00 라스트오더/화:11:30 - 22:00 15:00 - 17:00 브레이크타임 21:00 라스트오더/수:11:30 - 22:00 15:00 - 17:00 브레이크타임 21:00 라스트오더/목:11:30 - 22:00 15:00 - 17:00 브레이크타임 21:00 라스트오더,0,37.5275037,126.968528
589999740,딩가케이크,케이크전문,서울 마포구 동교로29길 68,,매일:11:30 - 22:00,0,37.5634111,126.9220609
880703747,호시라멘,일본식라면,서울 서초구 방배천로2안길 39 1층,0507-1400-2042,금:11:30 - 21:00 15:00 - 17:00 브레이크타임 20:30 라스트오더/토:12:00 - 21:00 15:00 - 17:00 브레이크타임 20:30 라스트오더/일:12:00 - 21:00 15:00 - 17:00 브레이크타임 20:30 라스트오더/월:정기휴무 (매주 월요일)/화:11:30 - 21:00 15:00 - 17:00 브레이크타임 20:30 라스트오더/수:11:30 - 21:00 15:00 - 17:00 브레이크타임 20:30 라스트오더/목:11:30 - 21:00 15:00 - 17:00 브레이크타임 20:30 라스트오더,0,37.4787948,126.9838357
1792834883,스폰티니 강남점,피자,서울 강남구 강남대로 442 1층,0507-1327-8072,매일:11:00 - 22:00 21:00 라스트오더,0,37.5020662,127.0260775
1828402698,교토가츠규 롯데월드어드벤처점,일식당,서울 송파구 올림픽로 240 지하 1층 푸드에비뉴,02-2143-1106,매일:11:00 - 21:00 20:00 라스트오더,0,37.5110794,127.0981638
1206369946,연남취향,양식,서울 마포구 연희로1길 36,0507-1330-9244,금:12:30 - 21:00/토:12:30 - 21:00/일:12:30 - 21:00/월:12:30 - 21:00/화:12:30 - 21:00/수:12:30 - 21:00/목:12:30 - 21:00,0,37.5604639,126.9257353
1305337580,발리문,아시아음식,서울 마포구 동교로 248-1 2층,0507-1347-8328,금:12:00 - 21:00 15:00 - 17:00 브레이크타임 20:00 라스트오더/토:12:00 - 21:00 15:00 - 17:00 브레이크타임 20:00 라스트오더/일:12:00 - 21:00 15:00 - 17:00 브레이크타임 20:00 라스트오더/월:12:00 - 21:00 15:00 - 17:00 브레이크타임 20:00 라스트오더/화:12:00 - 21:00 15:00 - 17:00 브레이크타임 20:00 라스트오더/수:12:00 - 21:00 15:00 - 17:00 브레이크타임 20:00 라스트오더/목:12:00 - 21:00 15:00 - 17:00 브레이크타임 20:00 라스트오더,0,37.5620297,126.9245311
1843239084,리얼파스타 망원점,"스파게티,파스타전문",서울 마포구 동교로9길 28 1층,0507-1420-5010,매일:11:00 - 21:00 20:20 라스트오더,0,37.5551375,126.9101488
13184523,한스K55흑돼지참나무장작구이,"찌개,전골",제주 제주시 도공로 14-8,064-713-8960,매일:10:00 - 22:00,0,33.5050766,126.4642526
1885677214,단골손님 홍대직영점,요리주점,서울 마포구 와우산로17길 6,010-3074-7733,목:17:00 - 새벽 06:00/금:17:00 - 새벽 06:00/토:17:00 - 새벽 06:00/일:17:00 - 새벽 06:00/월:17:00 - 새벽 06:00/화:17:00 - 새벽 06:00/수:17:00 - 새벽 06:00,0,37.550264,126.9226733
37101327,두베카페,"카페,디저트",전북 완주군 소양면 송광수만로 472-23,0507-1438-5222,금:10:00 - 18:00 17:30 라스트오더/토:10:00 - 18:30 18:00 라스트오더/일:10:00 - 18:30 18:00 라스트오더/월:10:00 - 18:00 17:30 라스트오더/화:10:00 - 18:00 17:30 라스트오더/수:10:00 - 18:00 17:30 라스트오더/목:10:00 - 18:00 17:30 라스트오더,0,35.9036775,127.243096
1064804903,오늘그대와,"스파게티,파스타전문",서울 마포구 동교로 262-13,0507-1370-1367,매일:11:00 - 22:00,0,37.5626699,126.925796
1238763388,남미플랜트랩,퓨전음식,서울 서초구 방배천로4안길 55 2층,02-522-1276,금:12:00 - 21:00 16:00 - 17:30 브레이크타임 20:00 라스트오더/토:12:00 - 21:00 20:00 라스트오더/일:12:00 - 21:00 20:00 라스트오더/월:12:00 - 21:00 16:00 - 17:30 브레이크타임 20:00 라스트오더/화:12:00 - 21:00 16:00 - 17:30 브레이크타임 20:00 라스트오더/수:12:00 - 21:00 16:00 - 17:30 브레이크타임 20:00 라스트오더/목:12:00 - 21:00 16:00 - 17:30 브레이크타임 20:00 라스트오더,0,37.4806186,126.9832433
38782401,감성타코 홍대점,"멕시코,남미음식",서울 마포구 와우산로21길 20-11 2층,02-337-8883,금:11:30 - 22:00 16:00 - 17:00 브레이크타임 21:00 라스트오더/토:12:00 - 22:00 21:00 라스트오더/일:12:00 - 22:00 21:00 라스트오더/월:11:30 - 22:00 16:00 - 17:00 브레이크타임 21:00 라스트오더/화:11:30 - 22:00 16:00 - 17:00 브레이크타임 21:00 라스트오더/수:11:30 - 22:00 16:00 - 17:00 브레이크타임 21:00 라스트오더/목:11:30 - 22:00 16:00 - 17:00 브레이크타임 21:00 라스트오더,0,37.5528043,126.9226911
1084867898,온센 성수점,일식당,서울 성동구 왕십리로14길 12-1,02-467-1397,"매일:11:30 - 21:00 15:30 - 17:00 브레이크타임 15:00, 20:30 라스트오더",0,37.5490083,127.0451313
1022973489,카페 노티드 피치스,카페,서울 성동구 연무장3길 9,0507-1405-9377,금:11:00 - 21:00/토:11:00 - 21:00/일:11:00 - 21:00/월:11:00 - 21:00/화:11:00 - 21:00/수:11:00 - 21:00/목:11:00 - 21:00,0,37.5446694,127.051352
1612138237,봄띠,"스파게티,파스타전문",서울 마포구 동교로38길 30 3층,0507-1328-3827,금:12:00 - 21:00/토:12:00 - 21:00/일:12:00 - 21:00/월:정기휴무 (매주 월요일)/화:12:00 - 21:00/수:12:00 - 21:00/목:12:00 - 21:00,0,37.5615316,126.9254681
1678344758,카페시사,"카페,디저트",서울 동대문구 전농로 217 정우빌딩 1층,02-3394-7141,매일:09:00 - 새벽 00:00,0,37.5835089,127.0532502
37869877,금돼지식당,돼지고기구이,서울 중구 다산로 149,0507-1307-8750,금:11:30 - 23:00 22:15 라스트오더/토:11:30 - 22:00 21:15 라스트오더/일:11:30 - 22:00 21:15 라스트오더/월:11:30 - 23:00 22:15 라스트오더/화:11:30 - 23:00 22:15 라스트오더/수:11:30 - 23:00 22:15 라스트오더/목:11:30 - 23:00 22:15 라스트오더,0,37.5570844,127.0116752
1958246365,비포블루밍,카페,서울 마포구 양화로23길 28 3층,0507-1302-5517,금:12:00 - 22:00/토:12:00 - 22:00/일:12:00 - 22:00/월(3/21):정기휴무 (매달 3번째 월요일)/화:12:00 - 22:00/수:12:00 - 22:00/목:12:00 - 22:00,0,37.5596076,126.9250713
1879365484,33게이트,"카페,디저트",부산 부산진구 서전로37번길 20 A 마동 2층,0507-1345-6918,금:12:00 - 21:00/토:12:00 - 21:00/일:12:00 - 21:00/월:12:00 - 21:00/화:12:00 - 21:00/수:12:00 - 21:00/목:정기휴무 (매주 목요일),0,35.1587537,129.0641039
1659928070,호랑이돈까스,일식당,서울 강남구 봉은사로29길 35 지하2층 12호,0507-1330-0847,금:10:30 - 22:00 15:30 - 17:00 브레이크타임/토:10:30 - 22:00 15:30 - 17:00 브레이크타임/일:정기휴무 (매주 일요일)/월:10:30 - 22:00 15:30 - 17:00 브레이크타임/화:10:30 - 22:00 15:30 - 17:00 브레이크타임/수:10:30 - 22:00 15:30 - 17:00 브레이크타임/목:10:30 - 22:00 15:30 - 17:00 브레이크타임,0,37.5095993,127.0335785
1315589122,대낚식당,한식,서울 성동구 성수이로7가길 15 1층 대낚식당,0507-1377-5573,금:11:30 - 22:00 15:00 - 17:30 브레이크타임/토:15:00 - 22:00/일:15:00 - 22:00/월:정기휴무 (매주 월요일)/화:11:30 - 22:00 15:00 - 17:30 브레이크타임/수:11:30 - 22:00 15:00 - 17:30 브레이크타임/목:11:30 - 22:00 15:00 - 17:30 브레이크타임,0,37.5415541,127.0551987
1173480601,뉴오더클럽,피자,서울 마포구 동교로34길 3,0507-1428-5701,매일:14:00 - 23:00 22:00 라스트오더,0,37.5610692,126.9245592
1418981294,연남물갈비,"육류,고기요리",서울 마포구 월드컵북로4길 13 2층,02-332-9211,목:11:30 - 새벽 02:00 15:00 - 17:00 브레이크타임/금:11:30 - 새벽 02:00 15:00 - 17:00 브레이크타임/토:11:30 - 새벽 02:00/일:11:30 - 새벽 02:00/월:11:30 - 새벽 02:00 15:00 - 17:00 브레이크타임/화:11:30 - 새벽 02:00 15:00 - 17:00 브레이크타임/수:11:30 - 새벽 02:00 15:00 - 17:00 브레이크타임,0,37.5571324,126.9204863
1070992505,간코,일식당,서울 마포구 양화로3길 15 1층,0507-1355-1320,매일:11:30 - 21:30 15:00 - 17:00 브레이크타임 20:30 라스트오더,0,37.5496393,126.9114854
1836213025,도토리다방,"카페,디저트",부산 부산진구 동성로25번길 30,,,0,35.1527968,129.0667699
1368783268,쵸리상경,한식,서울 성동구 서울숲4길 18-8 2층 쵸리상경,0507-1492-0157,매일:11:00 - 22:00 15:00 - 17:00 브레이크타임 14:30 라스트오더,0,37.5470489,127.0426587
13111012,JASE,바(BAR),서울 마포구 와우산로19길 6-11 2층,0507-1410-8220,매일:17:00 - 새벽 02:00,0,37.5517551,126.9228639
1528375856,베이브,"카페,디저트",서울 마포구 월드컵북로4길 29 지층 101호 베이브,02-6404-3737,매일:12:00 - 22:00,0,37.5577029,126.921028
1849652804,랫댓,피자,서울 마포구 동교로 243-4 2층,010-7697-6360,매일:13:00 - 22:00 21:00 라스트오더,0,37.561928,126.9241833
36943175,219레스토랑,"스파게티,파스타전문",서울특별시 마포구 잔다리로3안길 16 오드와빌딩,0507-1326-2199,매일:11:30 - 22:00 15:30 - 17:00 브레이크타임,0,37.5507536,126.9192603
